address,price,beds,bath,size,place
7470 Charlotte Pike #1,"$310,000",2 Beds,3 Baths,"1,155 Sq. Ft.","Nashville, TN, 37209"
255 Stonecrest Circle 119,"$599,900",2 Beds,4 Baths,"2,017 Sq. Ft.","Nashville, TN, 37209"
4487 Post Pl 139,"$420,000",2 Beds,2 Baths,"1,424 Sq. Ft.","Nashville, TN, 37205"
411 32nd Ave S,"$850,000","1,937 Sq. Ft.",,,"Nashville, TN, 37212"
1715 21st Ave N,"$695,000",4 Beds,3 Baths,"2,657 Sq. Ft.","Nashville, TN, 37208"
2521 Clifton Ave 302,"$450,000",1 Bed,1 Bath,665 Sq. Ft.,"Nashville, TN, 37209"
2315 Shadow Ln,"$499,000",3 Beds,2 Baths,"1,380 Sq. Ft.","Nashville, TN, 37216"
110 Lewis St,"$299,000",4 Beds,2 Baths,"1,614 Sq. Ft.","Nashville, TN, 37210"
322 Yorkshire Cir,"$325,000",2 Beds,2 Baths,"1,177 Sq. Ft.","Nashville, TN, 37211"
2305 Lloyd Ave,"$3,000,000",3 Beds,2 Baths,"1,843 Sq. Ft.","Nashville, TN, 37218"
415 Church St 2201,"$1,200,000",2 Beds,2 Baths,"1,465 Sq. Ft.","Nashville, TN, 37219"
700 Church St 402,"$449,900",1 Bed,1 Bath,752 Sq. Ft.,"Nashville, TN, 37203"
2934 Ironwood Dr,"$410,000",3 Beds,2 Baths,"1,296 Sq. Ft.","Nashville, TN, 37214"
3227 Lakeland Dr,"$400,000",3 Beds,2 Baths,"1,575 Sq. Ft.","Nashville, TN, 37214"
1012 Rodney Dr,"$700,000",4 Beds,2 Baths,"2,024 Sq. Ft.","Nashville, TN, 37205"
315 Joyner Ave,"$649,000",4 Beds,3 Baths,"2,130 Sq. Ft.","Nashville, TN, 37210"
460 Summit Oaks Dr,"$480,000",4 Beds,4 Baths,"3,004 Sq. Ft.","Nashville, TN, 37221"
348 Blackman Rd,"$749,900",4 Beds,3 Baths,"2,997 Sq. Ft.","Nashville, TN, 37211"
1212 Laurel St 1506,"$690,000",1 Bed,1 Bath,841 Sq. Ft.,"Nashville, TN, 37203"
1706 18th Ave S 110,"$430,000",1 Bed,2 Baths,808 Sq. Ft.,"Nashville, TN, 37212"
805 Cherokee Ave,"$469,900",2 Beds,3 Baths,"1,100 Sq. Ft.","Nashville, TN, 37207"
415 Church St 1709,"$600,000",1 Bed,1 Bath,634 Sq. Ft.,"Nashville, TN, 37219"
2610 Meharry Blvd B,"$675,000",3 Beds,3 Baths,"2,064 Sq. Ft.","Nashville, TN, 37208"
1904 Blair Blvd,"$2,600,000",6 Beds,6 Baths,"4,800 Sq. Ft.","Nashville, TN, 37212"
6612 Fleetwood Dr,"$795,000",2 Beds,1 Bath,"1,412 Sq. Ft.","Nashville, TN, 37209"
511B Haynes St,"$425,000",3 Beds,3 Baths,"1,379 Sq. Ft.","Nashville, TN, 37207"
3853 Faulkner Dr,"$428,000",3 Beds,3 Baths,"1,624 Sq. Ft.","Nashville, TN, 37211"
1003 Kipling Dr,"$389,900",4 Beds,2 Baths,"1,383 Sq. Ft.","Nashville, TN, 37217"
208 Vaughns Gap Rd,"$1,200,000",4 Beds,5 Baths,"3,565 Sq. Ft.","Nashville, TN, 37205"
4114 Elder Pl,"$2,250,000",4 Beds,6 Baths,"4,733 Sq. Ft.","Nashville, TN, 37215"
624 Westview Ave,"$4,390,000",5 Beds,7 Baths,"8,105 Sq. Ft.","Nashville, TN, 37205"
1541 Bending River Drive,"$505,000",3 Beds,2 Baths,"1,950 Sq. Ft.","Nashville, TN, 37221"
2416 Smith Springs Rd,"$1,390,000",2.81 Acres,,,"Nashville, TN, 37217"
903B Potter Ln,"$1,099,900",4 Beds,4 Baths,"2,724 Sq. Ft.","Nashville, TN, 37206"
209 Paragon Mills Rd,"$325,000",3 Beds,1 Bath,"1,025 Sq. Ft.","Nashville, TN, 37211"
4487 Post Pl 170,"$479,900",3 Beds,3 Baths,"2,042 Sq. Ft.","Nashville, TN, 37205"
2842 McGavock Pike,"$796,000",5 Beds,4 Baths,"2,787 Sq. Ft.","Nashville, TN, 37214"
358 Huntington Ridge Dr,"$312,000",3 Beds,2 Baths,"1,420 Sq. Ft.","Nashville, TN, 37211"
5028 Franklin Pike,"$5,800,000",7 Beds,12 Baths,"11,778 Sq. Ft.","Nashville, TN, 37220"
513 Saint Jules Ln,"$359,900",2 Beds,3 Baths,"1,478 Sq. Ft.","Nashville, TN, 37211"
614 Westview Ave,"$3,750,000",5 Beds,6 Baths,"6,209 Sq. Ft.","Nashville, TN, 37205"
2009 Jones Cir,"$479,000",4 Beds,2 Baths,"1,936 Sq. Ft.","Nashville, TN, 37207"
110 31st Avenue N 401,"$999,900",3 Beds,3 Baths,"2,504 Sq. Ft.","Nashville, TN, 37203"
4011 Havendale Dr,"$445,000",4 Beds,3 Baths,"2,518 Sq. Ft.","Nashville, TN, 37207"
1113 Howard Ave,"$616,000",4 Beds,5 Baths,"2,473 Sq. Ft.","Nashville, TN, 37216"
808 Shelby Ave B,"$1,125,000",4 Beds,5 Baths,"3,501 Sq. Ft.","Nashville, TN, 37206"
4521 Winfield Dr,"$699,900",3 Beds,3 Baths,"3,148 Sq. Ft.","Nashville, TN, 37211"
859 Summerly Dr,"$740,000",4 Beds,3 Baths,"2,118 Sq. Ft.","Nashville, TN, 37209"
707 Tral St,"$659,000",3 Beds,4 Baths,"2,140 Sq. Ft.","Nashville, TN, 37208"
6313 Robertson Ave,"$499,000",Studio,"1,500 Sq. Ft.",,"Nashville, TN, 37209"
6311 Robertson Ave,"$499,000",Studio,"1,500 Sq. Ft.",,"Nashville, TN, 37209"
1903 Manchester Drive,"$589,900",4 Beds,3 Baths,"1,691 Sq. Ft.","Nashville, TN, 37218"
3107 Vanderbilt Pl,"$1,375,000",3 Beds,4 Baths,"2,750 Sq. Ft.","Nashville, TN, 37212"
1100 Joseph Ave,"$800,000",5 Beds,3 Baths,"3,656 Sq. Ft.","Nashville, TN, 37207"
5744 Laura Hill Rd,"$2,499,000",3 Beds,3 Baths,"3,136 Sq. Ft.","Nashville, TN, 37215"
139 Holly Frst,"$360,000",3 Beds,3 Baths,"1,875 Sq. Ft.","Nashville, TN, 37221"
90 Lutie St,"$700,000",4 Beds,4 Baths,"2,810 Sq. Ft.","Nashville, TN, 37210"
20 Rutledge St 709,"$1,200,000",3 Beds,3 Baths,"1,690 Sq. Ft.","Nashville, TN, 37210"
15 S 13th Street,"$1,590,000",3 Beds,4 Baths,"2,689 Sq. Ft.","Nashville, TN, 37206"
600 12th Ave S 1101,"$1,079,000",2 Beds,2 Baths,"1,250 Sq. Ft.","Nashville, TN, 37203"
2842 Lake Forest Dr,"$214,000",3 Beds,2 Baths,"1,384 Sq. Ft.","Nashville, TN, 37217"
6220 Laredo Ave,"$425,000",3 Beds,1 Bath,912 Sq. Ft.,"Nashville, TN, 37209"
145 Fain St,"$425,000",0 Acres,,,"Nashville, TN, 37210"
3612B Woodmont Blvd,"$4,425,000",5 Beds,7 Baths,"8,496 Sq. Ft.","Nashville, TN, 37215"
2024 Rosemary Ln,"$775,000",4 Beds,4 Baths,"2,486 Sq. Ft.","Nashville, TN, 37210"
4128 Buenaview Ct,"$290,000",4 Beds,1 Bath,"1,231 Sq. Ft.","Nashville, TN, 37218"
121 Lewis St,"$625,000",4 Beds,4 Baths,"2,300 Sq. Ft.","Nashville, TN, 37210"
1715 Simpkins St,"$355,000",3 Beds,2 Baths,"1,012 Sq. Ft.","Nashville, TN, 37208"
3559 Seneca Forest Dr,"$299,900",3 Beds,3 Baths,"1,240 Sq. Ft.","Nashville, TN, 37217"
0 Delk Ave N,"$200,000",1.57 Acres,,,"Nashville, TN, 37208"
4697 Ridge Bend Dr,"$378,270",3 Beds,3 Baths,"1,400 Sq. Ft.","Nashville, TN, 37207"
172 Luna Dr,"$335,000",3 Beds,1 Bath,"1,598 Sq. Ft.","Nashville, TN, 37211"
610 21st Ave N 210,"$575,000",1 Bed,1 Bath,605 Sq. Ft.,"Nashville, TN, 37203"
1823 Heiman St,"$399,000",3 Beds,2 Baths,"1,288 Sq. Ft.","Nashville, TN, 37208"
8356 Highway 100,"$2,000,000",2 Acres,,,"Nashville, TN, 37221"
303 Criddle St 312,"$439,900",1 Bed,1 Bath,"1,100 Sq. Ft.","Nashville, TN, 37219"
370 Wallace Rd D3,"$179,900",2 Beds,1 Bath,972 Sq. Ft.,"Nashville, TN, 37211"
3305 Leondale Ter,"$575,000",4 Beds,3 Baths,"3,500 Sq. Ft.","Nashville, TN, 37207"
2138B 18th Ave N,"$720,000",4 Beds,4 Baths,"2,385 Sq. Ft.","Nashville, TN, 37208"
821 Clematis Dr,"$1,300,000",3 Beds,2 Baths,"1,770 Sq. Ft.","Nashville, TN, 37205"
2822 Blair Blvd,"$1,185,000",Studio,"2,112 Sq. Ft.",,"Nashville, TN, 37212"
274 Comroe Rd,"$365,000",3 Beds,1 Bath,"1,550 Sq. Ft.","Nashville, TN, 37211"
5735 Knob Rd,"$789,000",0.91 Acres,,,"Nashville, TN, 37209"
212 Summit Ridge Dr,"$315,000",1 Bed,1 Bath,716 Sq. Ft.,"Nashville, TN, 37215"
432 Murfreesboro Pike 104,"$199,900",1 Bed,1 Bath,462 Sq. Ft.,"Nashville, TN, 37210"
432 Murfreesboro Pike 305,"$225,000",1 Bed,1 Bath,462 Sq. Ft.,"Nashville, TN, 37210"
2202A Buena Vista Pk,"$969,900",4 Beds,5 Baths,"1,995 Sq. Ft.","Nashville, TN, 37218"
2202B Buena Vista Pk,"$959,900",4 Beds,5 Baths,"1,995 Sq. Ft.","Nashville, TN, 37218"
1523 Ward Ave,"$799,000",4 Beds,3 Baths,"2,345 Sq. Ft.","Nashville, TN, 37206"
1521 Ward Ave,"$799,000",4 Beds,3 Baths,"2,345 Sq. Ft.","Nashville, TN, 37206"
65 Lindsley Ave 511,"$575,000",1 Bed,1 Bath,585 Sq. Ft.,"Nashville, TN, 37210"
432 Murfreesboro Pike 306,"$217,900",1 Bed,1 Bath,462 Sq. Ft.,"Nashville, TN, 37210"
116 Five Oaks Dr,"$254,000",2 Beds,2 Baths,"1,280 Sq. Ft.","Nashville, TN, 37217"
2609 Natchez Trce,"$750,000",3 Beds,1 Bath,"1,350 Sq. Ft.","Nashville, TN, 37212"
411 Wilsonia Avenue,"$1,600,000",4 Beds,4 Baths,"5,210 Sq. Ft.","Nashville, TN, 37205"
7946 McCrory Ln,"$600,000",8 Acres,,,"Nashville, TN, 37221"
1027 E Trinity Ln 4,"$775,000",3 Beds,4 Baths,"1,660 Sq. Ft.","Nashville, TN, 37216"
245 Cherokee Station Dr,"$1,499,000",4 Beds,4 Baths,"3,257 Sq. Ft.","Nashville, TN, 37209"
1108 Overton Lea Rd,"$5,500,000",4 Beds,8 Baths,"7,272 Sq. Ft.","Nashville, TN, 37220"
1109 Deerhurst Ct,"$529,000",4 Beds,3 Baths,"2,398 Sq. Ft.","Nashville, TN, 37221"
433 E Trinity Ln,"$1,125,000",0.29 Acres,,,"Nashville, TN, 37207"
435 E Trinity Ln,"$1,125,000",5 Beds,2 Baths,"2,730 Sq. Ft.","Nashville, TN, 37207"
901 28th Ave N,"$289,900",Studio,"1,252 Sq. Ft.",,"Nashville, TN, 37208"
0 Walker Ln,"$649,900",5.17 Acres,,,"Nashville, TN, 37207"
810 Bellevue Rd 120,"$245,000",2 Beds,2 Baths,"1,058 Sq. Ft.","Nashville, TN, 37221"
432 Murfreesboro Pike 206,"$204,900",1 Bed,1 Bath,462 Sq. Ft.,"Nashville, TN, 37210"
1725 S Hamilton Rd,"$649,900",4 Beds,2 Baths,"2,200 Sq. Ft.","Nashville, TN, 37218"
2929B Vaulx,"$1,999,900",5 Beds,5 Baths,"3,885 Sq. Ft.","Nashville, TN, 37204"
1357 Crown Point Pl,"$399,990",3 Beds,3 Baths,"1,645 Sq. Ft.","Nashville, TN, 37211"
63 Glenrock Dr,"$1,495,000",4 Beds,4 Baths,"3,650 Sq. Ft.","Nashville, TN, 37221"
920 South St 202,"$599,900",1 Bed,1 Bath,772 Sq. Ft.,"Nashville, TN, 37203"
1266 Thomas St,"$950,000",3 Beds,3 Baths,"1,728 Sq. Ft.","Nashville, TN, 37210"
2614 Bethwood Dr,"$358,000",4 Beds,2 Baths,"1,184 Sq. Ft.","Nashville, TN, 37207"
2637 Old Matthews Rd,"$355,000",4 Beds,2 Baths,"1,584 Sq. Ft.","Nashville, TN, 37207"
1228F 4th Avenue North,"$1,499,900",3 Beds,3 Baths,"2,211 Sq. Ft.","Nashville, TN, 37208"
405 Marshall St Unit 8,"$619,900",3 Beds,3 Baths,"1,718 Sq. Ft.","Nashville, TN, 37207"
405 Marshall St Unit 5,"$589,900",2 Beds,3 Baths,"1,696 Sq. Ft.","Nashville, TN, 37207"
405 Marshall St Unit 2,"$749,900",3 Beds,4 Baths,"2,179 Sq. Ft.","Nashville, TN, 37207"
2509 Vaulx Ln,"$950,000",2 Beds,1 Bath,904 Sq. Ft.,"Nashville, TN, 37204"
432 Murfreesboro Pike 307,"$217,900",1 Bed,1 Bath,462 Sq. Ft.,"Nashville, TN, 37210"
3183 Parthenon Ave,"$699,900",4 Beds,1 Bath,"1,846 Sq. Ft.","Nashville, TN, 37203"
4514 Granny White Pike,"$1,500,000",3 Beds,3 Baths,"2,864 Sq. Ft.","Nashville, TN, 37204"
0 Dellway,"$275,000",0.68 Acres,,,"Nashville, TN, 37207"
920 South Street 104,"$656,000",1 Bed,1 Bath,715 Sq. Ft.,"Nashville, TN, 37203"
102 Duke St 9,"$359,900",1 Bed,2 Baths,996 Sq. Ft.,"Nashville, TN, 37207"
441 Harding Pl H7,"$179,000",2 Beds,1 Bath,874 Sq. Ft.,"Nashville, TN, 37211"
1218 Chester Ave,"$525,000",5 Beds,2 Baths,"2,120 Sq. Ft.","Nashville, TN, 37206"
432 Murfreesboro Pike 203,"$209,900",1 Bed,1 Bath,462 Sq. Ft.,"Nashville, TN, 37210"
910 Youngs Lane 4,"$699,900",3 Beds,4 Baths,"1,959 Sq. Ft.","Nashville, TN, 37207"
910 Youngs Lane 3,"$699,900",3 Beds,4 Baths,"1,959 Sq. Ft.","Nashville, TN, 37207"
801 Foster Hl,"$1,995,000",5 Beds,5 Baths,"4,827 Sq. Ft.","Nashville, TN, 37215"
8710 Gauphin Pl,"$455,900",3 Beds,3 Baths,"1,646 Sq. Ft.","Nashville, TN, 37211"
6600 Cabot Drive,"$575,000",Studio,"2,512 Sq. Ft.",,"Nashville, TN, 37209"
515 Church St #3203,"$465,000",1 Bed,1 Bath,640 Sq. Ft.,"Nashville, TN, 37219"
3102 Curtis St B,"$1,249,996",3 Beds,4 Baths,"3,223 Sq. Ft.","Nashville, TN, 37218"
2411 Crestmoor Rd Apt 105,"$1,050,000",2 Beds,2 Baths,"2,072 Sq. Ft.","Nashville, TN, 37215"
2401 Valley Brook Rd,"$6,695,000",5 Beds,7 Baths,"8,131 Sq. Ft.","Nashville, TN, 37215"
3109 Anderson Pl,"$594,000",3 Beds,3 Baths,"1,936 Sq. Ft.","Nashville, TN, 37216"
515 Church St 3902,"$565,000",1 Bed,1 Bath,704 Sq. Ft.,"Nashville, TN, 37219"
525 Stacy Square Ter,"$318,000",2 Beds,2 Baths,"1,400 Sq. Ft.","Nashville, TN, 37221"
31 Annandale,"$5,250,000",5 Beds,11 Baths,"8,200 Sq. Ft.","Nashville, TN, 37215"
112 Donald St,"$565,000",3 Beds,3 Baths,"2,072 Sq. Ft.","Nashville, TN, 37207"
3067 Casa Dr,"$259,900",2 Beds,2 Baths,"1,400 Sq. Ft.","Nashville, TN, 37214"
515 Church Street #3506,"$1,450,000",2 Beds,2 Baths,"1,053 Sq. Ft.","Nashville, TN, 37219"
125 Postwood Pl,"$1,279,000",4 Beds,4 Baths,"3,139 Sq. Ft.","Nashville, TN, 37205"
515 Church Street #3506 3506,"$1,450,000",2 Beds,2 Baths,"1,053 Sq. Ft.","Nashville, TN, 37219"
2111 Natchez Trce,"$1,849,000",5 Beds,6 Baths,"4,309 Sq. Ft.","Nashville, TN, 37212"
600 Bowling Ave,"$1,399,000",0.3 Acres,,,"Nashville, TN, 37215"
1316 Morton Mill Ct,"$534,000",4 Beds,3 Baths,"2,730 Sq. Ft.","Nashville, TN, 37221"
2408 Alameda Street,"$400,000",2 Beds,1 Bath,736 Sq. Ft.,"Nashville, TN, 37208"
1311 Tyne Blvd,"$1,395,000",1.12 Acres,,,"Nashville, TN, 37215"
117B 46th Ave N,"$1,925,000",4 Beds,5 Baths,"3,629 Sq. Ft.","Nashville, TN, 37209"
500 Madison St 107,"$750,000",2 Beds,2 Baths,"1,114 Sq. Ft.","Nashville, TN, 37208"
2932 Torbett St,"$299,900",0 Acres,,,"Nashville, TN, 37209"
441 Harding Pl C2,"$179,900",2 Beds,2 Baths,960 Sq. Ft.,"Nashville, TN, 37211"
516 Phipps Dr,"$215,000",3 Beds,2 Baths,"1,032 Sq. Ft.","Nashville, TN, 37218"
907 Carolyn Ave B,"$724,900",4 Beds,3 Baths,"2,432 Sq. Ft.","Nashville, TN, 37216"
2437 Batavia St,"$139,000",0.07 Acres,,,"Nashville, TN, 37208"
905 N 12th St,"$995,000",Studio,"1,350 Sq. Ft.",,"Nashville, TN, 37206"
420 E Bend Dr B,"$699,000",4 Beds,3 Baths,"1,910 Sq. Ft.","Nashville, TN, 37209"
420 E Bend Dr A,"$699,000",4 Beds,3 Baths,"1,910 Sq. Ft.","Nashville, TN, 37209"
905 Otter Creek Rd,"$399,900",1.18 Acres,,,"Nashville, TN, 37220"
3631 Hydes Ferry Rd,"$77,500",0.02 Acres,,,"Nashville, TN, 37218"
2603 Pennington Ave B,"$269,955",2 Beds,2 Baths,960 Sq. Ft.,"Nashville, TN, 37216"
2603 Pennington Ave A,"$267,955",2 Beds,2 Baths,960 Sq. Ft.,"Nashville, TN, 37216"
3621 Hydes Ferry Rd,"$77,500",0.02 Acres,,,"Nashville, TN, 37218"
3623 Hydes Ferry Rd,"$77,500",0.02 Acres,,,"Nashville, TN, 37218"
510 36th Ave N,"$375,000",0.16 Acres,,,"Nashville, TN, 37209"
4345 Skyridge Dr,"$455,870",3 Beds,2 Baths,"1,420 Sq. Ft.","Nashville, TN, 37207"
1604 Lischey Ave,"$699,900",4 Beds,2 Baths,"2,072 Sq. Ft.","Nashville, TN, 37207"
4001 Indiana Ave,"$450,000",0.17 Acres,,,"Nashville, TN, 37209"
1816 Timber Grv,"$150,000",0.22 Acres,,,"Nashville, TN, 37214"
1032 Herman St,"$965,000",1 Bed,1 Bath,"1,598 Sq. Ft.","Nashville, TN, 37208"
900 19th Ave S 210,"$349,900",1 Bed,1 Bath,550 Sq. Ft.,"Nashville, TN, 37212"
2215 White Ave,"$625,000",0.19 Acres,,,"Nashville, TN, 37204"
1042 Battery Ln B,"$2,495,000",6 Beds,7 Baths,"5,549 Sq. Ft.","Nashville, TN, 37220"
824 Templeton Dr,"$850,000",3 Beds,2 Baths,"2,133 Sq. Ft.","Nashville, TN, 37205"
1525 Riverside Dr,"$795,000",Studio,"3,603 Sq. Ft.",,"Nashville, TN, 37206"
2819B Hody Dr,"$250,000",0 Acres,,,"Nashville, TN, 37206"
3702B Estes Rd,"$499,000",0.52 Acres,,,"Nashville, TN, 37215"
1614 E Stewarts Ln,"$1,200,000",2 Acres,,,"Nashville, TN, 37218"
4005 Utah Ave,"$1,999,000",4 Beds,6 Baths,"3,654 Sq. Ft.","Nashville, TN, 37209"
4012B Wallace,"$4,699,000",6 Beds,9 Baths,"7,498 Sq. Ft.","Nashville, TN, 37215"
2815 Acklen Avenue,"$1,300,000",Studio,3 Baths,"2,200 Sq. Ft.","Nashville, TN, 37212"
1253 Sunnymeade Dr,"$49,900",,,,"Nashville, TN, 37216"
506 Arrington St,"$385,000",3 Beds,2 Baths,"1,008 Sq. Ft.","Nashville, TN, 37207"
1701 Westchester Dr,"$60,000",,,,"Nashville, TN, 37207"
6320 Columbia Ave,"$549,000",3 Beds,2 Baths,"1,967 Sq. Ft.","Nashville, TN, 37209"
1808 State St 307,"$299,900",2 Beds,2 Baths,800 Sq. Ft.,"Nashville, TN, 37203"
8888 Highway 100,"$1,110,000",30 Acres,,,"Nashville, TN, 37221"
2102 Scovel St,"$850,000",Studio,"4,096 Sq. Ft.",,"Nashville, TN, 37208"
917 Winthorne Dr,"$569,900",Studio,"2,359 Sq. Ft.",,"Nashville, TN, 37217"
412 Veritas St,"$299,900",4 Beds,2 Baths,"1,796 Sq. Ft.","Nashville, TN, 37211"
415 Lellyett Ave,"$824,900",3 Beds,4 Baths,"2,133 Sq. Ft.","Nashville, TN, 37209"
419 Lellyett Ave,"$824,900",3 Beds,4 Baths,"2,133 Sq. Ft.","Nashville, TN, 37209"
417 Lellyett Ave,"$824,900",3 Beds,4 Baths,"2,133 Sq. Ft.","Nashville, TN, 37209"
413 Lellyett Ave,"$749,900",3 Beds,4 Baths,"1,934 Sq. Ft.","Nashville, TN, 37209"
409 Lellyett Ave,"$749,900",3 Beds,4 Baths,"1,934 Sq. Ft.","Nashville, TN, 37209"
411 Lellyett Ave,"$749,900",3 Beds,4 Baths,"1,934 Sq. Ft.","Nashville, TN, 37209"
407 Lellyett Ave,"$749,900",3 Beds,4 Baths,"1,934 Sq. Ft.","Nashville, TN, 37209"
5750 River Trace,"$292,500",5.14 Acres,,,"Nashville, TN, 37218"
0 Davidson Drive,"$2,350,000",3 Acres,,,"Nashville, TN, 37205"
432 Murfreesboro Pike 101,"$185,900",1 Bed,1 Bath,402 Sq. Ft.,"Nashville, TN, 37210"
0 Dellway,"$275,000",0.68 Acres,,,"Nashville, TN, 37207"
1456 Bell Rd,"$2,750,000",Studio,,,"Nashville, TN, 37211"
4001 Gallatin Pike,"$2,100,000",0.51 Acres,,,"Nashville, TN, 37216"
432 Murfreesboro Pike 105,"$199,900",1 Bed,1 Bath,462 Sq. Ft.,"Nashville, TN, 37210"
1248 1st Ave S,"$299,000",0.09 Acres,,,"Nashville, TN, 37210"
1228C 4th Avenue North,"$1,895,000",4 Beds,4 Baths,"3,112 Sq. Ft.","Nashville, TN, 37208"
2610 Delk Ave,"$275,000",2 Beds,1 Bath,704 Sq. Ft.,"Nashville, TN, 37208"
4608 Benton Smith Rd,"$889,900",4 Beds,3 Baths,"3,159 Sq. Ft.","Nashville, TN, 37215"
20 Rutledge St 408,"$1,289,000",3 Beds,2 Baths,"1,764 Sq. Ft.","Nashville, TN, 37210"
1710 Linden Ave,"$3,100,000",5 Beds,6 Baths,"5,124 Sq. Ft.","Nashville, TN, 37212"
198 Sunset Dr,"$589,900",0.27 Acres,,,"Nashville, TN, 37207"
4632 Sawmill Pl,"$739,900",3 Beds,3 Baths,"2,800 Sq. Ft.","Nolensville, TN, 37135"
7628 Kemberton Dr E,"$549,900",5 Beds,3 Baths,"2,326 Sq. Ft.","Nolensville, TN, 37135"
4650 Robin Lane,"$819,900",4 Beds,3 Baths,"2,783 Sq. Ft.","Nolensville, TN, 37135"
5008 Ozment Dr,"$814,990",4 Beds,4 Baths,"2,884 Sq. Ft.","Nolensville, TN, 37122"
5044 Ozment Dr,"$874,990",4 Beds,4 Baths,"2,884 Sq. Ft.","Nolensville, TN, 37122"
619 Silva Ln,"$1,350,000",5 Beds,7 Baths,"4,563 Sq. Ft.","Nolensville, TN, 37135"
2139 Sister Ct,"$699,900",4 Beds,3 Baths,"2,452 Sq. Ft.","Nolensville, TN, 37135"
3022 Ozment Dr,"$710,990",3 Beds,3 Baths,"2,211 Sq. Ft.","Nolensville, TN, 37135"
4040 Rosa Dr,"$799,990",4 Beds,3 Baths,"2,543 Sq. Ft.","Nolensville, TN, 37135"
4025 Rosa Dr,"$649,990",3 Beds,3 Baths,"2,089 Sq. Ft.","Nolensville, TN, 37135"
3030 Ozment Dr,"$659,990",3 Beds,3 Baths,"2,211 Sq. Ft.","Nolensville, TN, 37135"
2385 Orchard St,"$699,000",4 Beds,3 Baths,"2,790 Sq. Ft.","Nolensville, TN, 37135"
1017 Wadeslea Ln,"$980,000",4 Beds,5 Baths,"3,702 Sq. Ft.","Nolensville, TN, 37135"
1523 Winding Creek Dr,"$355,000",2 Beds,3 Baths,"1,240 Sq. Ft.","Nolensville, TN, 37135"
5041 Ozment Dr,"$989,000",5 Beds,4 Baths,"3,679 Sq. Ft.","Nolensville, TN, 37135"
1521 Esplanade Dr,"$1,499,900",4 Beds,5 Baths,"3,814 Sq. Ft.","Nolensville, TN, 37135"
2036 Catalina Way,"$1,149,000",5 Beds,4 Baths,"4,066 Sq. Ft.","Nolensville, TN, 37135"
6063 Yellowstone Dr,"$749,990",3 Beds,3 Baths,"2,494 Sq. Ft.","Nolensville, TN, 37135"
605 Candleshoe Ct,"$1,149,000",4 Beds,4 Baths,"3,830 Sq. Ft.","Nolensville, TN, 37135"
1804 Looking Glass Ln,"$650,000",3 Beds,3 Baths,"2,426 Sq. Ft.","Nolensville, TN, 37135"
2215 Carouth Ct,"$819,900",4 Beds,3 Baths,"2,553 Sq. Ft.","Nolensville, TN, 37135"
1121 Angela Ann Ct,"$1,265,900",5 Beds,6 Baths,"3,973 Sq. Ft.","Nolensville, TN, 37135"
1109 Angela Ann Ct,"$1,149,900",5 Beds,4 Baths,"3,242 Sq. Ft.","Nolensville, TN, 37135"
5032 Ozment Dr,"$950,000",5 Beds,4 Baths,"3,679 Sq. Ft.","Nolensville, TN, 37135"
9721 Clovercroft Rd,"$995,000",3 Beds,3 Baths,"3,454 Sq. Ft.","Nolensville, TN, 37135"
160 Sedona Woods Trl,"$829,000",4 Beds,3 Baths,"3,107 Sq. Ft.","Nolensville, TN, 37135"
2033 Bocage Cir,"$1,124,900",4 Beds,4 Baths,"3,685 Sq. Ft.","Nolensville, TN, 37135"
3339 Redmon Hl,"$749,900",4 Beds,3 Baths,"2,947 Sq. Ft.","Nolensville, TN, 37135"
4052 Rosa Dr,"$737,990",4 Beds,3 Baths,"2,402 Sq. Ft.","Nolensville, TN, 37135"
1508 Little Leaf Way,"$1,050,000",4 Beds,4 Baths,"2,966 Sq. Ft.","Nolensville, TN, 37135"
631 Mer Rouge Dr,"$675,000",4 Beds,3 Baths,"1,994 Sq. Ft.","Nolensville, TN, 37135"
4048 Rosa Dr,"$827,990",5 Beds,4 Baths,"2,877 Sq. Ft.","Nolensville, TN, 37135"
1035 Magic Mountain Ln,"$2,250,000",3 Beds,4 Baths,"3,559 Sq. Ft.","Nolensville, TN, 37135"
4660 Robin Ln,"$975,000",5 Beds,4 Baths,"3,501 Sq. Ft.","Nolensville, TN, 37135"
3216 Saltville Aly,"$488,828",3 Beds,2 Baths,"1,599 Sq. Ft.","Nolensville, TN, 37135"
4645 Genevieve Leigh Drive,"$1,200,000",5 Beds,6 Baths,"4,183 Sq. Ft.","Nolensville, TN, 37135"
301 Fishing Ford Ct,"$849,900",4 Beds,4 Baths,"3,132 Sq. Ft.","Nolensville, TN, 37135"
3028 Ballenger Dr,"$749,900",4 Beds,3 Baths,"2,861 Sq. Ft.","Nolensville, TN, 37135"
501 Cedar Brook Ln,"$689,900",4 Beds,2 Baths,"2,784 Sq. Ft.","Nolensville, TN, 37135"
1473 Wolf Creek Dr,"$1,249,999",4 Beds,4 Baths,"3,963 Sq. Ft.","Nolensville, TN, 37135"
1003 Flannery Ct,"$634,900",5 Beds,4 Baths,"3,419 Sq. Ft.","Nolensville, TN, 37135"
420 Sweet Fern Dr,"$949,900",4 Beds,3 Baths,"3,334 Sq. Ft.","Nolensville, TN, 37135"
8152 Middlewick Ln,"$923,776",4 Beds,3 Baths,"3,432 Sq. Ft.","Nolensville, TN, 37135"
