address,price,beds,bath,size,place
1452 Scarcroft Ln,"$589,900",3 Beds,3 Baths,"2,756 Sq. Ft.","Nashville, TN, 37221"
927B Gale Ln,"$1,715,000",4 Beds,4 Baths,"4,090 Sq. Ft.","Nashville, TN, 37204"
1235A Battlefield Dr,"$1,200,000",4 Beds,4 Baths,"4,000 Sq. Ft.","Nashville, TN, 37215"
1053 General George Patton Rd,"$355,000",3 Beds,2 Baths,"1,403 Sq. Ft.","Nashville, TN, 37221"
113 38th Ave N,"$1,399,000",4 Beds,3 Baths,"3,039 Sq. Ft.","Nashville, TN, 37209"
131 Woodmont Blvd A,"$899,000",4 Beds,4 Baths,"3,512 Sq. Ft.","Nashville, TN, 37205"
165 Jefferson Sq,"$559,000",3 Beds,3 Baths,"2,495 Sq. Ft.","Nashville, TN, 37215"
6 Castlewood Ct,"$3,399,000",6 Beds,8 Baths,"7,739 Sq. Ft.","Nashville, TN, 37215"
5065 English Village Dr,"$523,000",4 Beds,4 Baths,"1,865 Sq. Ft.","Nashville, TN, 37211"
2820 Mashburn Rd,"$475,000",3 Beds,2 Baths,"1,904 Sq. Ft.","Nashville, TN, 37210"
609 Hogan Rd,"$874,000",3 Beds,2 Baths,"2,435 Sq. Ft.","Nashville, TN, 37220"
631 Bristol Creek Dr,"$399,000",2 Beds,3 Baths,"1,152 Sq. Ft.","Nashville, TN, 37221"
210B Page Rd,"$1,879,000",4 Beds,5 Baths,"4,122 Sq. Ft.","Nashville, TN, 37205"
5417 Cochran Dr,"$720,000",4 Beds,3 Baths,"2,886 Sq. Ft.","Nashville, TN, 37220"
3732 Central Ave,"$1,390,000",4 Beds,5 Baths,"3,302 Sq. Ft.","Nashville, TN, 37205"
111 Glendale Garden Dr,"$875,000",3 Beds,3 Baths,"2,452 Sq. Ft.","Nashville, TN, 37204"
5806 Hillsboro Pike,"$3,125,000",5 Beds,5 Baths,"5,365 Sq. Ft.","Nashville, TN, 37215"
5109 Trousdale Dr,"$700,000",4 Beds,2 Baths,"2,600 Sq. Ft.","Nashville, TN, 37220"
2826 Hartford Dr,"$699,000",3 Beds,2 Baths,"1,761 Sq. Ft.","Nashville, TN, 37210"
3435 Hopkins Street,"$2,100,000",5 Beds,7 Baths,"5,912 Sq. Ft.","Nashville, TN, 37215"
5729 Stoneway Trl,"$999,999",5 Beds,5 Baths,"4,665 Sq. Ft.","Nashville, TN, 37209"
421A 35th Ave N Unit A,"$799,000",3 Beds,4 Baths,"2,556 Sq. Ft.","Nashville, TN, 37209"
2709 Glenoaks Dr,"$529,900",4 Beds,3 Baths,"2,686 Sq. Ft.","Nashville, TN, 37214"
604A Hume St,"$1,265,000",4 Beds,4 Baths,"2,713 Sq. Ft.","Nashville, TN, 37208"
515 Basswood Ave E54,"$270,000",2 Beds,1 Bath,968 Sq. Ft.,"Nashville, TN, 37209"
7005 Collinswood Dr,"$584,900",4 Beds,3 Baths,"2,549 Sq. Ft.","Nashville, TN, 37221"
817 3rd Ave N 401,"$425,000",1 Bed,1 Bath,850 Sq. Ft.,"Nashville, TN, 37201"
3326 Goodland Rd,"$395,000",2 Beds,1 Bath,"1,344 Sq. Ft.","Nashville, TN, 37211"
1762 Hillmont Dr,"$4,395,000",5 Beds,7 Baths,"7,461 Sq. Ft.","Nashville, TN, 37215"
1002B Woodmont Blvd,"$1,695,000",5 Beds,5 Baths,"4,257 Sq. Ft.","Nashville, TN, 37204"
124 Cross Timbers Dr,"$395,000",3 Beds,3 Baths,"1,700 Sq. Ft.","Nashville, TN, 37221"
