address,price_$,beds,bath,place,size_sq.ft
1104 Greenland Ave,1600000,,,"Nashville, TN, 37216",
3313 Niagara Dr,349900,3.0,2.0,"Nashville, TN, 37214",1230.0
924 N 6th St,599000,3.0,2.0,"Nashville, TN, 37207",1464.0
1806 6th Ave N,1599900,4.0,5.0,"Nashville, TN, 37208",2847.0
1804 6th Ave N,1599900,4.0,5.0,"Nashville, TN, 37208",2908.0
1421 Porter Rd 3,665000,3.0,3.0,"Nashville, TN, 37206",2059.0
1085 Zophi St,575000,4.0,2.0,"Nashville, TN, 37216",3658.0
1504 Grandview Dr,1565000,5.0,4.0,"Nashville, TN, 37215",3475.0
2909 Glenmeade Dr,898000,4.0,3.0,"Nashville, TN, 37216",3092.0
837 Vibe Pl,800000,3.0,3.0,"Nashville, TN, 37216",1527.0
1206 63rd Ave N,619900,3.0,3.0,"Nashville, TN, 37209",2099.0
4256 Jamesborough Pl,1085000,3.0,3.0,"Nashville, TN, 37215",3185.0
1050 E Trinity Ln 1,775000,3.0,3.0,"Nashville, TN, 37216",1540.0
1306 Lone Oak Cir,3350000,5.0,7.0,"Nashville, TN, 37215",6283.0
1018 Petway Ave,633000,2.0,3.0,"Nashville, TN, 37206",1392.0
1225 4th Avenue South,499950,2.0,2.0,"Nashville, TN, 37210",1310.0
7307 Althorp Way,369900,2.0,3.0,"Nashville, TN, 37211",1368.0
815 Westview Avenue,3799000,4.0,5.0,"Nashville, TN, 37205",4558.0
841 Battlefield Dr A,1599000,4.0,4.0,"Nashville, TN, 37204",3180.0
1143 Battery Ln,2690000,3.0,4.0,"Nashville, TN, 37220",4166.0
1120A Woodvale Drive,1070000,3.0,3.0,"Nashville, TN, 37204",2690.0
1121 Granny White Ct,4299000,5.0,7.0,"Nashville, TN, 37204",6681.0
1412 Meharry Blvd B,599900,4.0,4.0,"Nashville, TN, 37208",2028.0
301 Demonbreun St 1806,615000,1.0,1.0,"Nashville, TN, 37201",837.0
2826 Woodlawn Dr,529900,2.0,3.0,"Nashville, TN, 37215",1552.0
770 Harpeth Trace Dr,499900,2.0,2.0,"Nashville, TN, 37221",1436.0
1300 Harding Pl,4199923,5.0,8.0,"Nashville, TN, 37215",6899.0
2004 Rivercliff Dr,1500000,0.0,,"Nashville, TN, 37218",
2118B Natchez Trce,950000,4.0,3.0,"Nashville, TN, 37212",2652.0
3104 Trevor St,1199000,3.0,4.0,"Nashville, TN, 37209",3113.0
1435 Tyne Blvd,2900000,5.0,6.0,"Nashville, TN, 37215",5438.0
3315 Nevada Ave,1650000,4.0,4.0,"Nashville, TN, 37209",3031.0
340 Ladybird Dr,399000,4.0,2.0,"Nashville, TN, 37217",1450.0
6012 Hill Cir A,1995000,5.0,5.0,"Nashville, TN, 37209",3803.0
1811B Martin St,1199000,3.0,4.0,"Nashville, TN, 37203",2209.0
278 Blackpool Dr,583000,4.0,3.0,"Nashville, TN, 37211",2681.0
2912A Lee Davis Rd,649000,3.0,3.0,"Nashville, TN, 37216",2150.0
5350 Hillsboro Pike,4250000,4.0,4.0,"Nashville, TN, 37215",5005.0
201 Rolling Fork Ct,1799000,3.0,3.0,"Nashville, TN, 37205",3090.0
1809 7th Ave N,839650,3.0,4.0,"Nashville, TN, 37208",2399.0
257 Blackman Rd,599900,,,"Nashville, TN, 37211",
2009 Castleman Dr,2100000,5.0,4.0,"Nashville, TN, 37215",3995.0
600 12th Ave S Apt 1904,629000,1.0,1.0,"Nashville, TN, 37203",867.0
313 Becanni Lane,699900,3.0,4.0,"Nashville, TN, 37209",1920.0
2610 Meharry Blvd A,675000,3.0,3.0,"Nashville, TN, 37208",2064.0
506 American Rd,679000,5.0,3.0,"Nashville, TN, 37209",1891.0
6113 Pinehurst Drive,4290000,6.0,7.0,"Nashville, TN, 37215",7151.0
1404 Wedgewood Ave,1499999,3.0,4.0,"Nashville, TN, 37212",2700.0
102 Clydelan Ct,3395000,5.0,8.0,"Nashville, TN, 37205",5369.0
4213B Farrar Ave,1599000,4.0,4.0,"Nashville, TN, 37215",3800.0
456 Ewing Ln,479500,3.0,2.0,"Nashville, TN, 37207",1831.0
1013A Alice St,619000,3.0,3.0,"Nashville, TN, 37218",2040.0
1103 Caldwell Ave,2495000,5.0,6.0,"Nashville, TN, 37204",4395.0
2813 Rural Hill Cir,410000,4.0,3.0,"Nashville, TN, 37217",1854.0
2123 Sharondale Dr,1850000,4.0,4.0,"Nashville, TN, 37215",4264.0
6728 Sugar Hill Drive,579000,3.0,3.0,"Nashville, TN, 37211",2904.0
801 Beth Dr,577900,5.0,3.0,"Nashville, TN, 37206",2241.0
600 12th Ave S 1716,489000,1.0,1.0,"Nashville, TN, 37203",711.0
1613 23rd Ave N,675000,4.0,3.0,"Nashville, TN, 37208",2687.0
825 N 5th St,720000,4.0,3.0,"Nashville, TN, 37207",2310.0
8262 Persia Way S,439900,3.0,3.0,"Nashville, TN, 37211",1727.0
4641 Mountainview Dr,684999,4.0,3.0,"Nashville, TN, 37215",2860.0
900 20th Ave S 1002,1375000,2.0,2.0,"Nashville, TN, 37212",1825.0
9418 Highway 100,399900,3.0,2.0,"Nashville, TN, 37221",1696.0
500 Landmark Ct,465000,2.0,3.0,"Nashville, TN, 37211",1739.0
600 12th Ave S 1501,1299999,2.0,2.0,"Nashville, TN, 37203",1250.0
1109 N 2nd St,375000,2.0,1.0,"Nashville, TN, 37207",1234.0
6149 Mt Pisgah Rd,1290000,4.0,4.0,"Nashville, TN, 37211",3156.0
3041 Runabout Dr,550000,9.0,4.0,"Nashville, TN, 37217",3785.0
929 Taylor Merritt Ct,445000,3.0,2.0,"Nashville, TN, 37209",1188.0
525 Foundry Dr,419000,3.0,1.0,"Nashville, TN, 37209",
655 Hicks Rd,381000,3.0,2.0,"Nashville, TN, 37221",1600.0
6008 Hill Circle Drive,1575000,4.0,5.0,"Nashville, TN, 37209",3366.0
203 Polk Ave,714000,3.0,3.0,"Nashville, TN, 37210",2532.0
4026 Ivy Dr,379900,2.0,1.0,"Nashville, TN, 37216",1347.0
1936 Deep Woods Trl,499000,4.0,3.0,"Nashville, TN, 37214",2926.0
1603A Porter Ave,699900,3.0,3.0,"Nashville, TN, 37206",2082.0
270 Tampa Dr J15,109900,1.0,1.0,"Nashville, TN, 37211",728.0
1328 McAlpine Ave,750000,3.0,1.0,"Nashville, TN, 37216",1490.0
6048 Deal Ave,279900,2.0,2.0,"Nashville, TN, 37209",900.0
1015 Aladdin Dr,299900,2.0,2.0,"Nashville, TN, 37217",1131.0
4718 Briarwood Dr,1399900,5.0,4.0,"Nashville, TN, 37211",3349.0
3545 Dickerson Pike,950000,1.0,,"Nashville, TN, 37207",
730 29th Ave N,365000,,,"Nashville, TN, 37209",
2425 Herman St,540000,0.0,,"Nashville, TN, 37208",
3911 Albert Dr,3690000,5.0,6.0,"Nashville, TN, 37204",5439.0
143 Fain St,425000,0.0,,"Nashville, TN, 37210",
4958 Edmondson Pike 8,204000,2.0,2.0,"Nashville, TN, 37211",1134.0
2056 Creekland View Blvd,419990,3.0,3.0,"Nashville, TN, 37207",2056.0
4689 Ridge Bend Dr,380770,3.0,3.0,"Nashville, TN, 37207",1400.0
181 Carnavon Pkwy,450000,2.85,,"Nashville, TN, 37205",
2807B Meadow Rose,799000,4.0,3.0,"Nashville, TN, 37206",2252.0
4515 Skywood Ln,377590,3.0,3.0,"Nashville, TN, 37207",1400.0
4517 Skywood Ln,375090,3.0,3.0,"Nashville, TN, 37207",1400.0
4508 Skywood Ln,371090,3.0,3.0,"Nashville, TN, 37207",1400.0
4695 Ridge Bend Dr,381770,3.0,3.0,"Nashville, TN, 37207",1400.0
5612 Morrow Rd,339999,2.0,1.0,"Nashville, TN, 37209",1100.0
2256 Creekland View Blvd,429990,4.0,3.0,"Nashville, TN, 37207",2256.0
1649 Creekland View Blvd,399990,3.0,2.0,"Nashville, TN, 37207",1649.0
2000 Creekland View Blvd,414990,3.0,3.0,"Nashville, TN, 37207",2000.0
1765 Creekland View Blvd,404990,3.0,2.0,"Nashville, TN, 37207",1765.0
940 Gale Ln 101,515000,2.0,3.0,"Nashville, TN, 37204",1438.0
432 Murfreesboro Pike 103,199900,1.0,1.0,"Nashville, TN, 37210",462.0
4600 Georgia Ave,600000,,,"Nashville, TN, 37209",
1130 Thorncrest Rd,410000,3.0,3.0,"Nashville, TN, 37211",1638.0
623B James Ave,739900,3.0,3.0,"Nashville, TN, 37209",1998.0
1808 12th Ave N B,650000,3.0,4.0,"Nashville, TN, 37208",1968.0
274 Clovernook Dr,364000,3.0,2.0,"Nashville, TN, 37210",1550.0
160 2nd Ave S 4001,11000000,3.0,5.0,"Nashville, TN, 37201",3970.0
1319 6th Ave N,1200000,2.0,1.0,"Nashville, TN, 37208",1563.0
2405 Lloyd Ave,349900,1.03,,"Nashville, TN, 37218",
2601 Sunset Pl,890000,3.0,3.0,"Nashville, TN, 37212",1855.0
3437 White Pine Dr,375000,3.0,2.0,"Nashville, TN, 37214",1290.0
2420 Gardner Ln,499000,2.0,1.0,"Nashville, TN, 37207",966.0
667 Huntington Pkwy,359000,3.0,2.0,"Nashville, TN, 37211",1943.0
2419 Eden St,315000,2.0,3.0,"Nashville, TN, 37208",1486.0
4317 Skyridge Dr,470230,4.0,3.0,"Nashville, TN, 37207",1934.0
233 Brevard Ct 233,288000,4.0,2.0,"Nashville, TN, 37211",1536.0
1710 Pecan Street A,600000,4.0,3.0,"Nashville, TN, 37208",2246.0
7204 S Colony Dr,539900,3.0,3.0,"Nashville, TN, 37221",2740.0
109 Porter Ter,425000,2.0,3.0,"Nashville, TN, 37206",1134.0
2315 Whites Creek Pike,1450000,1.37,,"Nashville, TN, 37207",
500 40th Ave N,575000,0.15,,"Nashville, TN, 37209",
600 12th Ave S 2012,550000,1.0,1.0,"Nashville, TN, 37203",636.0
3371 Mimosa Dr,625000,3.0,3.0,"Nashville, TN, 37211",2635.0
3227 W End Cir,319000,2.0,1.0,"Nashville, TN, 37203",972.0
920 South Street 409,750000,1.0,1.0,"Nashville, TN, 37203",798.0
2226A Fox Ave,249900,0.13,,"Nashville, TN, 37210",
2226B Fox Ave,249900,0.13,,"Nashville, TN, 37210",
4325 Ashland City Hwy 1,395000,3.0,3.0,"Nashville, TN, 37218",1518.0
140 Academy Sq,479500,2.0,2.0,"Nashville, TN, 37210",1110.0
500 Paragon Mills Rd M16,199900,2.0,1.0,"Nashville, TN, 37211",960.0
3325 William Bailey Dr,449900,3.0,3.0,"Nashville, TN, 37207",2102.0
1980 Loney Dr,494900,3.0,2.0,"Nashville, TN, 37210",1836.0
239 Rep John Lewis Way N 308,335900,1.0,1.0,"Nashville, TN, 37219",690.0
1045 Harold Dr,164999,1.0,1.0,"Nashville, TN, 37217",930.0
7470 Charlotte Pike #1,310000,2.0,3.0,"Nashville, TN, 37209",1155.0
255 Stonecrest Circle 119,599900,2.0,4.0,"Nashville, TN, 37209",2017.0
4487 Post Pl 139,420000,2.0,2.0,"Nashville, TN, 37205",1424.0
411 32nd Ave S,850000,,,"Nashville, TN, 37212",
1715 21st Ave N,695000,4.0,3.0,"Nashville, TN, 37208",2657.0
2521 Clifton Ave 302,450000,1.0,1.0,"Nashville, TN, 37209",665.0
2315 Shadow Ln,499000,3.0,2.0,"Nashville, TN, 37216",1380.0
110 Lewis St,299000,4.0,2.0,"Nashville, TN, 37210",1614.0
322 Yorkshire Cir,325000,2.0,2.0,"Nashville, TN, 37211",1177.0
2305 Lloyd Ave,3000000,3.0,2.0,"Nashville, TN, 37218",1843.0
415 Church St 2201,1200000,2.0,2.0,"Nashville, TN, 37219",1465.0
700 Church St 402,449900,1.0,1.0,"Nashville, TN, 37203",752.0
2934 Ironwood Dr,410000,3.0,2.0,"Nashville, TN, 37214",1296.0
3227 Lakeland Dr,400000,3.0,2.0,"Nashville, TN, 37214",1575.0
1012 Rodney Dr,700000,4.0,2.0,"Nashville, TN, 37205",2024.0
315 Joyner Ave,649000,4.0,3.0,"Nashville, TN, 37210",2130.0
460 Summit Oaks Dr,480000,4.0,4.0,"Nashville, TN, 37221",3004.0
348 Blackman Rd,749900,4.0,3.0,"Nashville, TN, 37211",2997.0
1212 Laurel St 1506,690000,1.0,1.0,"Nashville, TN, 37203",841.0
1706 18th Ave S 110,430000,1.0,2.0,"Nashville, TN, 37212",808.0
805 Cherokee Ave,469900,2.0,3.0,"Nashville, TN, 37207",1100.0
415 Church St 1709,600000,1.0,1.0,"Nashville, TN, 37219",634.0
2610 Meharry Blvd B,675000,3.0,3.0,"Nashville, TN, 37208",2064.0
1904 Blair Blvd,2600000,6.0,6.0,"Nashville, TN, 37212",4800.0
6612 Fleetwood Dr,795000,2.0,1.0,"Nashville, TN, 37209",1412.0
511B Haynes St,425000,3.0,3.0,"Nashville, TN, 37207",1379.0
3853 Faulkner Dr,428000,3.0,3.0,"Nashville, TN, 37211",1624.0
1003 Kipling Dr,389900,4.0,2.0,"Nashville, TN, 37217",1383.0
208 Vaughns Gap Rd,1200000,4.0,5.0,"Nashville, TN, 37205",3565.0
4114 Elder Pl,2250000,4.0,6.0,"Nashville, TN, 37215",4733.0
624 Westview Ave,4390000,5.0,7.0,"Nashville, TN, 37205",8105.0
1541 Bending River Drive,505000,3.0,2.0,"Nashville, TN, 37221",1950.0
2416 Smith Springs Rd,1390000,2.81,,"Nashville, TN, 37217",
903B Potter Ln,1099900,4.0,4.0,"Nashville, TN, 37206",2724.0
209 Paragon Mills Rd,325000,3.0,1.0,"Nashville, TN, 37211",1025.0
4487 Post Pl 170,479900,3.0,3.0,"Nashville, TN, 37205",2042.0
2842 McGavock Pike,796000,5.0,4.0,"Nashville, TN, 37214",2787.0
358 Huntington Ridge Dr,312000,3.0,2.0,"Nashville, TN, 37211",1420.0
5028 Franklin Pike,5800000,7.0,12.0,"Nashville, TN, 37220",11778.0
513 Saint Jules Ln,359900,2.0,3.0,"Nashville, TN, 37211",1478.0
614 Westview Ave,3750000,5.0,6.0,"Nashville, TN, 37205",6209.0
2009 Jones Cir,479000,4.0,2.0,"Nashville, TN, 37207",1936.0
110 31st Avenue N 401,999900,3.0,3.0,"Nashville, TN, 37203",2504.0
4011 Havendale Dr,445000,4.0,3.0,"Nashville, TN, 37207",2518.0
1113 Howard Ave,616000,4.0,5.0,"Nashville, TN, 37216",2473.0
808 Shelby Ave B,1125000,4.0,5.0,"Nashville, TN, 37206",3501.0
4521 Winfield Dr,699900,3.0,3.0,"Nashville, TN, 37211",3148.0
859 Summerly Dr,740000,4.0,3.0,"Nashville, TN, 37209",2118.0
707 Tral St,659000,3.0,4.0,"Nashville, TN, 37208",2140.0
6313 Robertson Ave,499000,,,"Nashville, TN, 37209",
6311 Robertson Ave,499000,,,"Nashville, TN, 37209",
1903 Manchester Drive,589900,4.0,3.0,"Nashville, TN, 37218",1691.0
3107 Vanderbilt Pl,1375000,3.0,4.0,"Nashville, TN, 37212",2750.0
1100 Joseph Ave,800000,5.0,3.0,"Nashville, TN, 37207",3656.0
5744 Laura Hill Rd,2499000,3.0,3.0,"Nashville, TN, 37215",3136.0
139 Holly Frst,360000,3.0,3.0,"Nashville, TN, 37221",1875.0
90 Lutie St,700000,4.0,4.0,"Nashville, TN, 37210",2810.0
20 Rutledge St 709,1200000,3.0,3.0,"Nashville, TN, 37210",1690.0
15 S 13th Street,1590000,3.0,4.0,"Nashville, TN, 37206",2689.0
600 12th Ave S 1101,1079000,2.0,2.0,"Nashville, TN, 37203",1250.0
2842 Lake Forest Dr,214000,3.0,2.0,"Nashville, TN, 37217",1384.0
6220 Laredo Ave,425000,3.0,1.0,"Nashville, TN, 37209",912.0
145 Fain St,425000,0.0,,"Nashville, TN, 37210",
3612B Woodmont Blvd,4425000,5.0,7.0,"Nashville, TN, 37215",8496.0
2024 Rosemary Ln,775000,4.0,4.0,"Nashville, TN, 37210",2486.0
4128 Buenaview Ct,290000,4.0,1.0,"Nashville, TN, 37218",1231.0
121 Lewis St,625000,4.0,4.0,"Nashville, TN, 37210",2300.0
1715 Simpkins St,355000,3.0,2.0,"Nashville, TN, 37208",1012.0
3559 Seneca Forest Dr,299900,3.0,3.0,"Nashville, TN, 37217",1240.0
0 Delk Ave N,200000,1.57,,"Nashville, TN, 37208",
4697 Ridge Bend Dr,378270,3.0,3.0,"Nashville, TN, 37207",1400.0
172 Luna Dr,335000,3.0,1.0,"Nashville, TN, 37211",1598.0
610 21st Ave N 210,575000,1.0,1.0,"Nashville, TN, 37203",605.0
1823 Heiman St,399000,3.0,2.0,"Nashville, TN, 37208",1288.0
8356 Highway 100,2000000,2.0,,"Nashville, TN, 37221",
303 Criddle St 312,439900,1.0,1.0,"Nashville, TN, 37219",1100.0
370 Wallace Rd D3,179900,2.0,1.0,"Nashville, TN, 37211",972.0
3305 Leondale Ter,575000,4.0,3.0,"Nashville, TN, 37207",3500.0
2138B 18th Ave N,720000,4.0,4.0,"Nashville, TN, 37208",2385.0
821 Clematis Dr,1300000,3.0,2.0,"Nashville, TN, 37205",1770.0
2822 Blair Blvd,1185000,,,"Nashville, TN, 37212",
274 Comroe Rd,365000,3.0,1.0,"Nashville, TN, 37211",1550.0
5735 Knob Rd,789000,0.91,,"Nashville, TN, 37209",
212 Summit Ridge Dr,315000,1.0,1.0,"Nashville, TN, 37215",716.0
432 Murfreesboro Pike 104,199900,1.0,1.0,"Nashville, TN, 37210",462.0
432 Murfreesboro Pike 305,225000,1.0,1.0,"Nashville, TN, 37210",462.0
2202A Buena Vista Pk,969900,4.0,5.0,"Nashville, TN, 37218",1995.0
2202B Buena Vista Pk,959900,4.0,5.0,"Nashville, TN, 37218",1995.0
1523 Ward Ave,799000,4.0,3.0,"Nashville, TN, 37206",2345.0
1521 Ward Ave,799000,4.0,3.0,"Nashville, TN, 37206",2345.0
65 Lindsley Ave 511,575000,1.0,1.0,"Nashville, TN, 37210",585.0
432 Murfreesboro Pike 306,217900,1.0,1.0,"Nashville, TN, 37210",462.0
116 Five Oaks Dr,254000,2.0,2.0,"Nashville, TN, 37217",1280.0
2609 Natchez Trce,750000,3.0,1.0,"Nashville, TN, 37212",1350.0
411 Wilsonia Avenue,1600000,4.0,4.0,"Nashville, TN, 37205",5210.0
7946 McCrory Ln,600000,8.0,,"Nashville, TN, 37221",
1027 E Trinity Ln 4,775000,3.0,4.0,"Nashville, TN, 37216",1660.0
245 Cherokee Station Dr,1499000,4.0,4.0,"Nashville, TN, 37209",3257.0
1108 Overton Lea Rd,5500000,4.0,8.0,"Nashville, TN, 37220",7272.0
1109 Deerhurst Ct,529000,4.0,3.0,"Nashville, TN, 37221",2398.0
433 E Trinity Ln,1125000,0.29,,"Nashville, TN, 37207",
435 E Trinity Ln,1125000,5.0,2.0,"Nashville, TN, 37207",2730.0
901 28th Ave N,289900,,,"Nashville, TN, 37208",
0 Walker Ln,649900,5.17,,"Nashville, TN, 37207",
810 Bellevue Rd 120,245000,2.0,2.0,"Nashville, TN, 37221",1058.0
432 Murfreesboro Pike 206,204900,1.0,1.0,"Nashville, TN, 37210",462.0
1725 S Hamilton Rd,649900,4.0,2.0,"Nashville, TN, 37218",2200.0
2929B Vaulx,1999900,5.0,5.0,"Nashville, TN, 37204",3885.0
1357 Crown Point Pl,399990,3.0,3.0,"Nashville, TN, 37211",1645.0
63 Glenrock Dr,1495000,4.0,4.0,"Nashville, TN, 37221",3650.0
920 South St 202,599900,1.0,1.0,"Nashville, TN, 37203",772.0
1266 Thomas St,950000,3.0,3.0,"Nashville, TN, 37210",1728.0
2614 Bethwood Dr,358000,4.0,2.0,"Nashville, TN, 37207",1184.0
2637 Old Matthews Rd,355000,4.0,2.0,"Nashville, TN, 37207",1584.0
1228F 4th Avenue North,1499900,3.0,3.0,"Nashville, TN, 37208",2211.0
405 Marshall St Unit 8,619900,3.0,3.0,"Nashville, TN, 37207",1718.0
405 Marshall St Unit 5,589900,2.0,3.0,"Nashville, TN, 37207",1696.0
405 Marshall St Unit 2,749900,3.0,4.0,"Nashville, TN, 37207",2179.0
2509 Vaulx Ln,950000,2.0,1.0,"Nashville, TN, 37204",904.0
432 Murfreesboro Pike 307,217900,1.0,1.0,"Nashville, TN, 37210",462.0
3183 Parthenon Ave,699900,4.0,1.0,"Nashville, TN, 37203",1846.0
4514 Granny White Pike,1500000,3.0,3.0,"Nashville, TN, 37204",2864.0
0 Dellway,275000,0.68,,"Nashville, TN, 37207",
920 South Street 104,656000,1.0,1.0,"Nashville, TN, 37203",715.0
102 Duke St 9,359900,1.0,2.0,"Nashville, TN, 37207",996.0
441 Harding Pl H7,179000,2.0,1.0,"Nashville, TN, 37211",874.0
1218 Chester Ave,525000,5.0,2.0,"Nashville, TN, 37206",2120.0
432 Murfreesboro Pike 203,209900,1.0,1.0,"Nashville, TN, 37210",462.0
910 Youngs Lane 4,699900,3.0,4.0,"Nashville, TN, 37207",1959.0
910 Youngs Lane 3,699900,3.0,4.0,"Nashville, TN, 37207",1959.0
801 Foster Hl,1995000,5.0,5.0,"Nashville, TN, 37215",4827.0
8710 Gauphin Pl,455900,3.0,3.0,"Nashville, TN, 37211",1646.0
6600 Cabot Drive,575000,,,"Nashville, TN, 37209",
515 Church St #3203,465000,1.0,1.0,"Nashville, TN, 37219",640.0
3102 Curtis St B,1249996,3.0,4.0,"Nashville, TN, 37218",3223.0
2411 Crestmoor Rd Apt 105,1050000,2.0,2.0,"Nashville, TN, 37215",2072.0
2401 Valley Brook Rd,6695000,5.0,7.0,"Nashville, TN, 37215",8131.0
3109 Anderson Pl,594000,3.0,3.0,"Nashville, TN, 37216",1936.0
515 Church St 3902,565000,1.0,1.0,"Nashville, TN, 37219",704.0
525 Stacy Square Ter,318000,2.0,2.0,"Nashville, TN, 37221",1400.0
31 Annandale,5250000,5.0,11.0,"Nashville, TN, 37215",8200.0
112 Donald St,565000,3.0,3.0,"Nashville, TN, 37207",2072.0
3067 Casa Dr,259900,2.0,2.0,"Nashville, TN, 37214",1400.0
515 Church Street #3506,1450000,2.0,2.0,"Nashville, TN, 37219",1053.0
125 Postwood Pl,1279000,4.0,4.0,"Nashville, TN, 37205",3139.0
515 Church Street #3506 3506,1450000,2.0,2.0,"Nashville, TN, 37219",1053.0
2111 Natchez Trce,1849000,5.0,6.0,"Nashville, TN, 37212",4309.0
600 Bowling Ave,1399000,0.3,,"Nashville, TN, 37215",
1316 Morton Mill Ct,534000,4.0,3.0,"Nashville, TN, 37221",2730.0
2408 Alameda Street,400000,2.0,1.0,"Nashville, TN, 37208",736.0
1311 Tyne Blvd,1395000,1.12,,"Nashville, TN, 37215",
117B 46th Ave N,1925000,4.0,5.0,"Nashville, TN, 37209",3629.0
500 Madison St 107,750000,2.0,2.0,"Nashville, TN, 37208",1114.0
2932 Torbett St,299900,0.0,,"Nashville, TN, 37209",
441 Harding Pl C2,179900,2.0,2.0,"Nashville, TN, 37211",960.0
516 Phipps Dr,215000,3.0,2.0,"Nashville, TN, 37218",1032.0
907 Carolyn Ave B,724900,4.0,3.0,"Nashville, TN, 37216",2432.0
2437 Batavia St,139000,0.07,,"Nashville, TN, 37208",
905 N 12th St,995000,,,"Nashville, TN, 37206",
420 E Bend Dr B,699000,4.0,3.0,"Nashville, TN, 37209",1910.0
420 E Bend Dr A,699000,4.0,3.0,"Nashville, TN, 37209",1910.0
905 Otter Creek Rd,399900,1.18,,"Nashville, TN, 37220",
3631 Hydes Ferry Rd,77500,0.02,,"Nashville, TN, 37218",
2603 Pennington Ave B,269955,2.0,2.0,"Nashville, TN, 37216",960.0
2603 Pennington Ave A,267955,2.0,2.0,"Nashville, TN, 37216",960.0
3621 Hydes Ferry Rd,77500,0.02,,"Nashville, TN, 37218",
3623 Hydes Ferry Rd,77500,0.02,,"Nashville, TN, 37218",
510 36th Ave N,375000,0.16,,"Nashville, TN, 37209",
4345 Skyridge Dr,455870,3.0,2.0,"Nashville, TN, 37207",1420.0
1604 Lischey Ave,699900,4.0,2.0,"Nashville, TN, 37207",2072.0
4001 Indiana Ave,450000,0.17,,"Nashville, TN, 37209",
1816 Timber Grv,150000,0.22,,"Nashville, TN, 37214",
1032 Herman St,965000,1.0,1.0,"Nashville, TN, 37208",1598.0
900 19th Ave S 210,349900,1.0,1.0,"Nashville, TN, 37212",550.0
2215 White Ave,625000,0.19,,"Nashville, TN, 37204",
1042 Battery Ln B,2495000,6.0,7.0,"Nashville, TN, 37220",5549.0
824 Templeton Dr,850000,3.0,2.0,"Nashville, TN, 37205",2133.0
1525 Riverside Dr,795000,,,"Nashville, TN, 37206",
2819B Hody Dr,250000,0.0,,"Nashville, TN, 37206",
3702B Estes Rd,499000,0.52,,"Nashville, TN, 37215",
1614 E Stewarts Ln,1200000,2.0,,"Nashville, TN, 37218",
4005 Utah Ave,1999000,4.0,6.0,"Nashville, TN, 37209",3654.0
4012B Wallace,4699000,6.0,9.0,"Nashville, TN, 37215",7498.0
2815 Acklen Avenue,1300000,,3.0,"Nashville, TN, 37212",2200.0
1253 Sunnymeade Dr,49900,,,"Nashville, TN, 37216",
506 Arrington St,385000,3.0,2.0,"Nashville, TN, 37207",1008.0
1701 Westchester Dr,60000,,,"Nashville, TN, 37207",
6320 Columbia Ave,549000,3.0,2.0,"Nashville, TN, 37209",1967.0
1808 State St 307,299900,2.0,2.0,"Nashville, TN, 37203",800.0
8888 Highway 100,1110000,30.0,,"Nashville, TN, 37221",
2102 Scovel St,850000,,,"Nashville, TN, 37208",
917 Winthorne Dr,569900,,,"Nashville, TN, 37217",
412 Veritas St,299900,4.0,2.0,"Nashville, TN, 37211",1796.0
415 Lellyett Ave,824900,3.0,4.0,"Nashville, TN, 37209",2133.0
419 Lellyett Ave,824900,3.0,4.0,"Nashville, TN, 37209",2133.0
417 Lellyett Ave,824900,3.0,4.0,"Nashville, TN, 37209",2133.0
413 Lellyett Ave,749900,3.0,4.0,"Nashville, TN, 37209",1934.0
409 Lellyett Ave,749900,3.0,4.0,"Nashville, TN, 37209",1934.0
411 Lellyett Ave,749900,3.0,4.0,"Nashville, TN, 37209",1934.0
407 Lellyett Ave,749900,3.0,4.0,"Nashville, TN, 37209",1934.0
5750 River Trace,292500,5.14,,"Nashville, TN, 37218",
0 Davidson Drive,2350000,3.0,,"Nashville, TN, 37205",
432 Murfreesboro Pike 101,185900,1.0,1.0,"Nashville, TN, 37210",402.0
0 Dellway,275000,0.68,,"Nashville, TN, 37207",
1456 Bell Rd,2750000,,,"Nashville, TN, 37211",
4001 Gallatin Pike,2100000,0.51,,"Nashville, TN, 37216",
432 Murfreesboro Pike 105,199900,1.0,1.0,"Nashville, TN, 37210",462.0
1248 1st Ave S,299000,0.09,,"Nashville, TN, 37210",
1228C 4th Avenue North,1895000,4.0,4.0,"Nashville, TN, 37208",3112.0
2610 Delk Ave,275000,2.0,1.0,"Nashville, TN, 37208",704.0
4608 Benton Smith Rd,889900,4.0,3.0,"Nashville, TN, 37215",3159.0
20 Rutledge St 408,1289000,3.0,2.0,"Nashville, TN, 37210",1764.0
1710 Linden Ave,3100000,5.0,6.0,"Nashville, TN, 37212",5124.0
198 Sunset Dr,589900,0.27,,"Nashville, TN, 37207",
4632 Sawmill Pl,739900,3.0,3.0,"Nolensville, TN, 37135",2800.0
7628 Kemberton Dr E,549900,5.0,3.0,"Nolensville, TN, 37135",2326.0
4650 Robin Lane,819900,4.0,3.0,"Nolensville, TN, 37135",2783.0
5008 Ozment Dr,814990,4.0,4.0,"Nolensville, TN, 37122",2884.0
5044 Ozment Dr,874990,4.0,4.0,"Nolensville, TN, 37122",2884.0
619 Silva Ln,1350000,5.0,7.0,"Nolensville, TN, 37135",4563.0
2139 Sister Ct,699900,4.0,3.0,"Nolensville, TN, 37135",2452.0
3022 Ozment Dr,710990,3.0,3.0,"Nolensville, TN, 37135",2211.0
