address,price_$,beds,bath,place,size_sq.ft
2809 Red Clover Ct,489000,4.0,4.0,"Nashville, TN, 37218",3081.0
2509 Scovel St,400000,0.0,,"Nashville, TN, 37208",
1705 Underwood St,355000,3.0,1.0,"Nashville, TN, 37208",1055.0
902 Briarwood Crst,1375000,4.0,4.0,"Nashville, TN, 37221",3896.0
2064 Leeds Ln,499900,3.0,3.0,"Nashville, TN, 37221",1924.0
302 Doe Ridge Ct,280000,2.0,3.0,"Nashville, TN, 37214",1380.0
4308 Morriswood Dr,875000,0.0,,"Nashville, TN, 37204",
8046 River Road Pike,794500,33.0,,"Nashville, TN, 37209",
1145 Balbade Dr,2079999,5.0,4.0,"Nashville, TN, 37215",4821.0
821 Dewees Ave,2499000,5.0,4.0,"Nashville, TN, 37204",4241.0
3325 Panorama Dr,350000,3.0,2.0,"Nashville, TN, 37218",1050.0
6204 Morrow Rd B,895000,5.0,5.0,"Nashville, TN, 37209",3144.0
202 Lucile Ln,565000,2.0,3.0,"Nashville, TN, 37207",1326.0
1118 Litton Ave A107,274900,1.0,1.0,"Nashville, TN, 37216",754.0
0 River View Dr,6000000,21.85,,"Nashville, TN, 37209",
6637 Jocelyn Hollow Rd,1600000,3.0,4.0,"Nashville, TN, 37205",3600.0
1240 Massman Dr,272000,2.0,2.0,"Nashville, TN, 37217",1160.0
415 Church St 2004,499900,1.0,1.0,"Nashville, TN, 37219",732.0
1013 Argyle Ave B,1600000,4.0,5.0,"Nashville, TN, 37203",3691.0
2903 Woodlawn Dr,1380000,4.0,3.0,"Nashville, TN, 37215",3188.0
3452 Crestridge Dr,855000,3.0,3.0,"Nashville, TN, 37204",2378.0
502 N 17th St,1250000,4.0,2.0,"Nashville, TN, 37206",2609.0
920 South Street 103,850000,2.0,2.0,"Nashville, TN, 37203",1118.0
600 12th Ave S 726,539000,1.0,1.0,"Nashville, TN, 37203",822.0
1700 Sherwood Lane A,950000,3.0,4.0,"Nashville, TN, 37216",2849.0
2601 Lincoya Dr,575000,3.0,2.0,"Nashville, TN, 37214",2438.0
2025 Woodmont Blvd 232,475000,2.0,2.0,"Nashville, TN, 37215",1233.0
415 Church St 1504,489000,1.0,1.0,"Nashville, TN, 37219",732.0
853 Stirrup Dr,899000,4.0,4.0,"Nashville, TN, 37221",4728.0
2640 Woodberry Dr,449900,3.0,2.0,"Nashville, TN, 37214",1317.0
391 Normandy Cir,540000,2.0,3.0,"Nashville, TN, 37209",1832.0
405 Midnight Sun Cir,459999,3.0,3.0,"Nashville, TN, 37211",1791.0
1525 Constitution Ave,493900,4.0,3.0,"Nashville, TN, 37207",3011.0
1612 Cahal Ave B,825000,3.0,3.0,"Nashville, TN, 37206",2436.0
4600 Shys Hill Rd,4500000,5.0,7.0,"Nashville, TN, 37215",7108.0
1119 Waggoner Ct W,299900,3.0,2.0,"Nashville, TN, 37214",1270.0
214 Stewarts Ferry Pike,1100000,3.0,2.0,"Nashville, TN, 37214",3900.0
2916 Murray Cir,499900,3.0,2.0,"Nashville, TN, 37216",1268.0
5411 Illinois Ave,298000,2.0,1.0,"Nashville, TN, 37209",660.0
5436 Village Way,449900,3.0,2.0,"Nashville, TN, 37211",2154.0
921 Bowring Park,1895000,4.0,6.0,"Nashville, TN, 37215",4449.0
530 Vernon Cir,649900,3.0,4.0,"Nashville, TN, 37209",2185.0
1902 Hailey Ave B,739999,3.0,4.0,"Nashville, TN, 37218",2600.0
1315 Lone Oak Cir,3890000,6.0,6.0,"Nashville, TN, 37215",6433.0
5212 Elkins Ave,585000,2.0,1.0,"Nashville, TN, 37209",828.0
3724 Hillbrook Dr,315000,3.0,2.0,"Nashville, TN, 37211",1100.0
2339 Creekland View Blvd,434990,3.0,3.0,"Nashville, TN, 37207",2339.0
1433 Beddington Park,300000,1.25,,"Nashville, TN, 37215",
3325B Niagara Dr,300000,3.0,3.0,"Nashville, TN, 37214",2268.0
3203 Resha,469999,3.0,1.0,"Nashville, TN, 37218",1021.0
1718 Arthur Ave,688000,4.0,3.0,"Nashville, TN, 37208",2052.0
1217 Luckett Rd,1299900,5.0,4.0,"Nashville, TN, 37221",3051.0
3718 Homeland Dr,199900,1.0,,"Nashville, TN, 37218",
1313 Crestfield Dr,474947,3.0,3.0,"Nashville, TN, 37211",1849.0
33 Perkins St,795000,4.0,4.0,"Nashville, TN, 37210",2400.0
403 River Rouge Ct,699500,5.0,3.0,"Nashville, TN, 37209",3180.0
122 38th Ave N,2199000,6.0,6.0,"Nashville, TN, 37209",4863.0
2340 Alteras Dr,555000,3.0,3.0,"Nashville, TN, 37211",2053.0
515 Avondale Park Blvd,499000,3.0,3.0,"Nashville, TN, 37221",1820.0
4134 W Hamilton Rd,659900,4.0,3.0,"Nashville, TN, 37218",3700.0
1609 Otter Creek Rd,4200000,5.0,6.0,"Nashville, TN, 37215",6261.0
4105 Estes Rd,1799000,5.0,5.0,"Nashville, TN, 37215",4292.0
644 Jackson Falls Dr,1803500,4.0,4.0,"Nashville, TN, 37221",3722.0
407 S 10th St # A,850000,3.0,3.0,"Nashville, TN, 37206",2650.0
282 Hillsboro Pl,365000,2.0,2.0,"Nashville, TN, 37215",1048.0
6123 Louisiana Ave A,764900,3.0,3.0,"Nashville, TN, 37209",2270.0
2603 Woodyhill Dr,349900,3.0,1.0,"Nashville, TN, 37207",872.0
1709 Timber Pt,499800,5.0,3.0,"Nashville, TN, 37214",1816.0
5023 Packard Dr,374473,3.0,2.0,"Nashville, TN, 37211",1459.0
1038 Cone Blvd,459000,4.0,3.0,"Nashville, TN, 37207",1903.0
3836 Lake Aire Dr,439900,3.0,2.0,"Nashville, TN, 37217",2510.0
7172 Bay Cove Trl,629900,4.0,3.0,"Nashville, TN, 37221",2266.0
1025 Carolyn Ave E,1150000,6.0,3.0,"Nashville, TN, 37216",4019.0
905 Coarsey Dr,155000,1.0,1.0,"Nashville, TN, 37217",777.0
4312 Sunnybrook Dr,1250000,2.0,1.0,"Nashville, TN, 37205",1164.0
106 Lutie St,369900,2.0,1.0,"Nashville, TN, 37210",1120.0
615 Old Hickory Blvd 603,386990,2.0,3.0,"Nashville, TN, 37209",1209.0
4356 Skyridge Dr,506270,4.0,3.0,"Nashville, TN, 37207",2018.0
615 Old Hickory Blvd 632,408990,2.0,3.0,"Nashville, TN, 37209",1209.0
615 Old Hickory Blvd 619,394990,2.0,3.0,"Nashville, TN, 37209",1209.0
335 Shady Creek Ln,479900,3.0,3.0,"Nashville, TN, 37211",1716.0
1000 Elvira Ave,410000,2.0,1.0,"Nashville, TN, 37216",1120.0
